# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.initializing.ms,1761411769500000000,1761411825630000000,0
workspaceModel.updates.count,1761411769500000000,1761411825630000000,0
workspaceModel.on.before.changed.ms,1761411769500000000,1761411825630000000,0
workspaceModel.updates.precise.ms,1761411769500000000,1761411825630000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1761411769500000000,1761411825630000000,0
workspaceModel.loading.total.ms,1761411769500000000,1761411825630000000,16
workspaceModel.cachedValue.calculated.count,1761411769500000000,1761411825630000000,2
workspaceModel.entityStorageSnapshotImpl.instances.count,1761411769500000000,1761411825630000000,3
workspaceModel.loading.from.cache.ms,1761411769500000000,1761411825630000000,3
workspaceModel.update.unloaded.entities.ms,1761411769500000000,1761411825630000000,0
workspaceModel.cachedValue.total.get.count,1761411769500000000,1761411825630000000,16
workspaceModel.check.recursive.update.ms,1761411769500000000,1761411825630000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1761411769500000000,1761411825630000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1761411769500000000,1761411825630000000,0
workspaceModel.collect.changes.ms,1761411769500000000,1761411825630000000,0
workspaceModel.on.changed.ms,1761411769500000000,1761411825630000000,0
workspaceModel.init.bridges.ms,1761411769500000000,1761411825630000000,0
workspaceModel.replace.project.model.ms,1761411769500000000,1761411825630000000,0
workspaceModel.updates.ms,1761411769500000000,1761411825630000000,0
workspaceModel.cachedValue.from.cache.count,1761411769500000000,1761411825630000000,14
workspaceModel.to.snapshot.ms,1761411769500000000,1761411825630000000,0
VFS.fileByIdCache.misses,1761411769500000000,1761411825630000000,0
VFS.invertedFileNameIndex.requests,1761411769500000000,1761411825630000000,0
VFS.fileChildByName,1761411769500000000,1761411825630000000,68
VFS.fileByIdCache.hits,1761411769500000000,1761411825630000000,0
NonBlockingReadAction.failedExecutionTimeUs,1761411769500000000,1761411825630000000,0
NonBlockingReadAction.finalizedExecutionsCount,1761411769500000000,1761411825630000000,23
NonBlockingReadAction.finalizedExecutionTimeUs,1761411769500000000,1761411825630000000,183049
NonBlockingReadAction.failedExecutionsCount,1761411769500000000,1761411825630000000,0
AWTEventQueue.dispatchTimeTotalNS,1761411769500000000,1761411825630000000,7742581600
cacheStateStorage.set.duration,1761411769500000000,1761411825630000000,28
cacheStateStorage.set.counter,1761411769500000000,1761411825630000000,8
cacheStateStorage.get.duration,1761411769500000000,1761411825630000000,0
cacheStateStorage.get.counter,1761411769500000000,1761411825630000000,11
DiskQueryRelay.tasksRequested,1761411769500000000,1761411825630000000,5
DiskQueryRelay.taskExecutionTotalTimeUs,1761411769500000000,1761411825630000000,4411
lexer.VTL.size.bytes,1761411769500000000,1761411825630000000,138
writeAction.max.wait.ms,1761411769500000000,1761411825630000000,0
writeAction.median.wait.ms,1761411769500000000,1761411825630000000,0
writeAction.count,1761411769500000000,1761411825630000000,5
parser.VTL.time.ns,1761411769500000000,1761411825630000000,3176600
parser.VTL.size.bytes,1761411769500000000,1761411825630000000,138
lexer.VTL.time.ns,1761411769500000000,1761411825630000000,1695100
DiskQueryRelay.tasksExecuted,1761411769500000000,1761411825630000000,5
DiskQueryRelay.taskWaitingTotalTimeUs,1761411769500000000,1761411825630000000,6741
writeAction.wait.ms,1761411769500000000,1761411825630000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1761411769500000000,1761411825630000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1761411769500000000,1761411825630000000,0
FilePageCache.pageFastCacheHits,1761411769500000000,1761411825630000000,7554
FilePageCacheLockFree.totalPageAllocationsWaited,1761411769500000000,1761411825630000000,0
DirectByteBufferAllocator.reclaimed,1761411769500000000,1761411825630000000,43
FilePageCacheLockFree.totalBytesRead,1761411769500000000,1761411825630000000,0
FilePageCacheLockFree.totalPagesAllocated,1761411769500000000,1761411825630000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1761411769500000000,1761411825630000000,0
StorageLockContext.competingThreads.max,1761411769500000000,1761411825630000000,0
StorageLockContext.competingThreads.90P,1761411769500000000,1761411825630000000,0
FilePageCache.maxRegisteredFiles,1761411769500000000,1761411825630000000,1045
FileChannelInterruptsRetryer.totalRetriedAttempts,1761411769500000000,1761411825630000000,0
FilePageCacheLockFree.totalPagesReclaimed,1761411769500000000,1761411825630000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1761411769500000000,1761411825630000000,0
StorageLockContext.competingThreads.avg,1761411769500000000,1761411825630000000,0.0
FilePageCache.totalPageDisposalsUs,1761411769500000000,1761411825630000000,7049
DirectByteBufferAllocator.misses,1761411769500000000,1761411825630000000,377
FilePageCacheLockFree.housekeeperTurnsSkipped,1761411769500000000,1761411825630000000,0
FilePageCacheLockFree.totalPagesWriteMs,1761411769500000000,1761411825630000000,0
FilePageCache.maxCacheSizeInBytes,1761411769500000000,1761411825630000000,395313152
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1761411769500000000,1761411825630000000,41943040
FilePageCacheLockFree.totalPagesRequested,1761411769500000000,1761411825630000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1761411769500000000,1761411825630000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1761411769500000000,1761411825630000000,0
FilePageCacheLockFree.totalPagesHandedOver,1761411769500000000,1761411825630000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1761411769500000000,1761411825630000000,0
FilePageCacheLockFree.totalPagesWritten,1761411769500000000,1761411825630000000,0
FilePageCache.uncachedFileAccess,1761411769500000000,1761411825630000000,226
FilePageCacheLockFree.totalBytesWritten,1761411769500000000,1761411825630000000,0
DirectByteBufferAllocator.hits,1761411769500000000,1761411825630000000,3
FilePageCache.totalPageLoadsUs,1761411769500000000,1761411825630000000,1766130
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1761411769500000000,1761411825630000000,41943040
FilePageCacheLockFree.nativeBytesInUse,1761411769500000000,1761411825630000000,0
FilePageCacheLockFree.totalPagesReadMs,1761411769500000000,1761411825630000000,0
DirectByteBufferAllocator.disposed,1761411769500000000,1761411825630000000,337
FilePageCache.pageLoadsAboveSizeThreshold,1761411769500000000,1761411825630000000,0
FilePageCacheLockFree.heapBytesInUse,1761411769500000000,1761411825630000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1761411769500000000,1761411825630000000,0
FilePageCache.pageLoads,1761411769500000000,1761411825630000000,380
FilePageCacheLockFree.totalBytesRequested,1761411769500000000,1761411825630000000,0
FilePageCache.capacityInBytes,1761411769500000000,1761411825630000000,503316478
FilePageCache.disposedBuffers,1761411769500000000,1761411825630000000,380
FilePageCache.pageHits,1761411769500000000,1761411825630000000,0
