# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
lexer.HTML.size.bytes,1761445161213000000,1761445221236000000,0
parser.Markdown.size.bytes,1761445161213000000,1761445221236000000,28794
parser.Groovy.size.bytes,1761445161213000000,1761445221236000000,109494
lexer.XML.size.bytes,1761445161213000000,1761445221236000000,3087
parser.XML.size.bytes,1761445161213000000,1761445221236000000,3087
lexer.Groovy.time.ns,1761445161213000000,1761445221236000000,284048300
lexer.XML.time.ns,1761445161213000000,1761445221236000000,1088300
parser.HTML.time.ns,1761445161213000000,1761445221236000000,49334100
lexer.HTML.time.ns,1761445161213000000,1761445221236000000,8689300
writeAction.max.wait.ms,1761445161213000000,1761445221236000000,236
parser.XML.time.ns,1761445161213000000,1761445221236000000,176168500
parser.Groovy.time.ns,1761445161213000000,1761445221236000000,4495484100
parser.HTML.size.bytes,1761445161213000000,1761445221236000000,0
parser.Markdown.time.ns,1761445161213000000,1761445221236000000,1246023100
writeAction.median.wait.ms,1761445161213000000,1761445221236000000,300
lexer.Markdown.size.bytes,1761445161213000000,1761445221236000000,28794
writeAction.wait.ms,1761445161213000000,1761445221236000000,672
lexer.Groovy.size.bytes,1761445161213000000,1761445221236000000,109494
writeAction.count,1761445161213000000,1761445221236000000,37
lexer.Markdown.time.ns,1761445161213000000,1761445221236000000,2531039500
compiler.ArtifactManagerBridge.getArtifacts.ms,1761445161213000000,1761445221236000000,0
compiler.ArtifactManagerBridge.commit.ms,1761445161213000000,1761445221236000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1761445161213000000,1761445221236000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1761445161213000000,1761445221236000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1761445161213000000,1761445221236000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1761445161213000000,1761445221236000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1761445161213000000,1761445221236000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1761445161213000000,1761445221236000000,1
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1761445161213000000,1761445221236000000,3
cacheStateStorage.set.counter,1761445161213000000,1761445221236000000,15
cacheStateStorage.get.counter,1761445161213000000,1761445221236000000,27
cacheStateStorage.get.duration,1761445161213000000,1761445221236000000,38
cacheStateStorage.set.duration,1761445161213000000,1761445221236000000,502
FilePageCacheLockFree.totalBytesRequested,1761445161213000000,1761445221236000000,0
StreamlinedBlobStorage.recordsDeleted,1761445161213000000,1761445221236000000,1
DirectByteBufferAllocator.disposed,1761445161213000000,1761445221236000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1761445161213000000,1761445221236000000,0
FilePageCacheLockFree.totalPagesReadMs,1761445161213000000,1761445221236000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1761445161213000000,1761445221236000000,0
FilePageCache.disposedBuffers,1761445161213000000,1761445221236000000,19
StreamlinedBlobStorage.recordsAllocated,1761445161213000000,1761445221236000000,1329
FilePageCache.pageFastCacheHits,1761445161213000000,1761445221236000000,60370
FilePageCacheLockFree.totalBytesRead,1761445161213000000,1761445221236000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1761445161213000000,1761445221236000000,0
StorageLockContext.competingThreads.max,1761445161213000000,1761445221236000000,6
MappedFileStorage.totalPagesMapped,1761445161213000000,1761445221236000000,16
FilePageCache.maxRegisteredFiles,1761445161213000000,1761445221236000000,576
FilePageCache.totalPageLoadsUs,1761445161213000000,1761445221236000000,1955908
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1761445161213000000,1761445221236000000,352337920
MappedFileStorage.totalBytesMapped,1761445161213000000,1761445221236000000,203685888
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1761445161213000000,1761445221236000000,107542
FilePageCacheLockFree.housekeeperTurnsSkipped,1761445161213000000,1761445221236000000,0
FilePageCacheLockFree.totalPagesAllocated,1761445161213000000,1761445221236000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1761445161213000000,1761445221236000000,0
FilePageCache.pageLoads,1761445161213000000,1761445221236000000,357
FilePageCache.capacityInBytes,1761445161213000000,1761445221236000000,503316478
FilePageCacheLockFree.totalPagesWritten,1761445161213000000,1761445221236000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1761445161213000000,1761445221236000000,0
StorageLockContext.competingThreads.avg,1761445161213000000,1761445221236000000,0.13157894736842105
DirectByteBufferAllocator.reclaimed,1761445161213000000,1761445221236000000,19
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1761445161213000000,1761445221236000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1761445161213000000,1761445221236000000,0
DirectByteBufferAllocator.misses,1761445161213000000,1761445221236000000,338
FilePageCache.pageHits,1761445161213000000,1761445221236000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1761445161213000000,1761445221236000000,35189
FilePageCacheLockFree.totalHeapBytesAllocated,1761445161213000000,1761445221236000000,0
StreamlinedBlobStorage.recordsRelocated,1761445161213000000,1761445221236000000,0
StorageLockContext.competingThreads.90P,1761445161213000000,1761445221236000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1761445161213000000,1761445221236000000,0
FilePageCacheLockFree.heapBytesInUse,1761445161213000000,1761445221236000000,0
FilePageCacheLockFree.totalPagesWriteMs,1761445161213000000,1761445221236000000,0
FilePageCacheLockFree.nativeBytesInUse,1761445161213000000,1761445221236000000,0
DirectByteBufferAllocator.hits,1761445161213000000,1761445221236000000,19
FilePageCacheLockFree.housekeeperTimeSpentMs,1761445161213000000,1761445221236000000,0
FilePageCacheLockFree.totalBytesWritten,1761445161213000000,1761445221236000000,0
MappedFileStorage.storages,1761445161213000000,1761445221236000000,16
FilePageCache.uncachedFileAccess,1761445161213000000,1761445221236000000,504
FilePageCacheLockFree.housekeeperTurnsDone,1761445161213000000,1761445221236000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1761445161213000000,1761445221236000000,0
FilePageCacheLockFree.totalPagesReclaimed,1761445161213000000,1761445221236000000,0
FilePageCache.maxCacheSizeInBytes,1761445161213000000,1761445221236000000,352337920
MappedFileStorage.totalTimeSpentOnMappingUs,1761445161213000000,1761445221236000000,564272
FilePageCacheLockFree.totalPagesRequested,1761445161213000000,1761445221236000000,0
FilePageCacheLockFree.totalPagesHandedOver,1761445161213000000,1761445221236000000,0
FilePageCache.totalPageDisposalsUs,1761445161213000000,1761445221236000000,4256
Indexes.entries.lookupDurationAvgMs,1761445161213000000,1761445221236000000,12.666666666666666
Indexes.stubs.lookupDurationMaxMs,1761445161213000000,1761445221236000000,0.0
Indexes.allKeys.lookups,1761445161213000000,1761445221236000000,0.0
IndexesFlusher.totalFlushesRetried,1761445161213000000,1761445221236000000,0
Indexes.entries.lookups,1761445161213000000,1761445221236000000,3.0
Indexes.stubs.lookups,1761445161213000000,1761445221236000000,0.0
IndexesFlusher.totalFlushingTimeUs,1761445161213000000,1761445221236000000,4727362
Indexes.allKeys.lookupDuration90PMs,1761445161213000000,1761445221236000000,0.0
IndexesFlusher.totalFlushes,1761445161213000000,1761445221236000000,54
Indexes.stubs.lookupDurationAvgMs,1761445161213000000,1761445221236000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1761445161213000000,1761445221236000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1761445161213000000,1761445221236000000,8
Indexes.stubs.lookupDuration90PMs,1761445161213000000,1761445221236000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1761445161213000000,1761445221236000000,0.0
Indexes.entries.lookupDurationMaxMs,1761445161213000000,1761445221236000000,16.0
Indexes.entries.lookupDuration90PMs,1761445161213000000,1761445221236000000,16.0
jps.module.iml.entities.serializer.save.entities.ms,1761445161213000000,1761445221236000000,42
workspaceModel.mutableEntityStorage.has.same.entities.ms,1761445161213000000,1761445221236000000,0
jps.module.iml.entities.serializer.load.entities.ms,1761445161213000000,1761445221236000000,165
workspaceModel.global.apply.state.to.project.builder.ms,1761445161213000000,1761445221236000000,6
workspaceModel.mutableEntityStorage.add.entity.ms,1761445161213000000,1761445221236000000,160
