# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.eventsDispatched,1761573223643000000,1761573242716000000,0
FlushQueue.queueSizeMax,1761573223643000000,1761573242716000000,0
FlushQueue.executionTimeMaxNs,1761573223643000000,1761573242716000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1761573223643000000,1761573242716000000,81360
ReadAction.executionsCount,1761573223643000000,1761573242716000000,50085
AWTEventQueue.dispatchTimeMaxNs,1761573223643000000,1761573242716000000,0
NonBlockingReadAction.failedExecutionTimeUs,1761573223643000000,1761573242716000000,0
FlushQueue.waitingTimeMaxNs,1761573223643000000,1761573242716000000,0
WriteAction.executionsCount,1761573223643000000,1761573242716000000,1
AWTEventQueue.dispatchTime90PNs,1761573223643000000,1761573242716000000,0
FlushQueue.queueSize90P,1761573223643000000,1761573242716000000,0
AWTEventQueue.dispatchTimeTotalNS,1761573223643000000,1761573242716000000,16090708600
FlushQueue.waitingTime90PNs,1761573223643000000,1761573242716000000,0
NonBlockingReadAction.finalizedExecutionsCount,1761573223643000000,1761573242716000000,15
FlushQueue.tasksExecuted,1761573223643000000,1761573242716000000,0
AWTEventQueue.dispatchTimeAvgNs,1761573223643000000,1761573242716000000,0.0
FlushQueue.executionTime90PNs,1761573223643000000,1761573242716000000,0
FlushQueue.queueSizeAvg,1761573223643000000,1761573242716000000,0.0
FlushQueue.executionTimeAvgNs,1761573223643000000,1761573242716000000,0.0
NonBlockingReadAction.failedExecutionsCount,1761573223643000000,1761573242716000000,0
FlushQueue.waitingTimeAvgNs,1761573223643000000,1761573242716000000,0.0
VFS.fileByIdCache.hits,1761573223643000000,1761573242716000000,0
VFS.invertedFileNameIndex.requests,1761573223643000000,1761573242716000000,0
VFS.fileChildByName,1761573223643000000,1761573242716000000,13
VFS.fileByIdCache.misses,1761573223643000000,1761573242716000000,0
FilePageCacheLockFree.totalPagesWritten,1761573223643000000,1761573242716000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1761573223643000000,1761573242716000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1761573223643000000,1761573242716000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1761573223643000000,1761573242716000000,41943040
FilePageCacheLockFree.totalClosedStoragesReclaimed,1761573223643000000,1761573242716000000,0
FilePageCacheLockFree.totalBytesWritten,1761573223643000000,1761573242716000000,0
DirectByteBufferAllocator.reclaimed,1761573223643000000,1761573242716000000,43
DirectByteBufferAllocator.misses,1761573223643000000,1761573242716000000,193
DirectByteBufferAllocator.hits,1761573223643000000,1761573242716000000,3
DirectByteBufferAllocator.disposed,1761573223643000000,1761573242716000000,153
FilePageCache.pageLoadsAboveSizeThreshold,1761573223643000000,1761573242716000000,0
FilePageCacheLockFree.totalPagesHandedOver,1761573223643000000,1761573242716000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1761573223643000000,1761573242716000000,0
StorageLockContext.competingThreads.avg,1761573223643000000,1761573242716000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1761573223643000000,1761573242716000000,41943040
FileChannelInterruptsRetryer.totalRetriedAttempts,1761573223643000000,1761573242716000000,0
StorageLockContext.competingThreads.90P,1761573223643000000,1761573242716000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1761573223643000000,1761573242716000000,0
FilePageCacheLockFree.totalPagesReclaimed,1761573223643000000,1761573242716000000,0
FilePageCacheLockFree.heapBytesInUse,1761573223643000000,1761573242716000000,0
FilePageCacheLockFree.totalPagesReadMs,1761573223643000000,1761573242716000000,0
FilePageCacheLockFree.totalBytesRequested,1761573223643000000,1761573242716000000,0
FilePageCacheLockFree.totalBytesRead,1761573223643000000,1761573242716000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1761573223643000000,1761573242716000000,0
FilePageCache.disposedBuffers,1761573223643000000,1761573242716000000,196
MappedFileStorage.totalTimeSpentOnMappingUs,1761573223643000000,1761573242716000000,8031
FilePageCacheLockFree.totalHeapBytesAllocated,1761573223643000000,1761573242716000000,0
FilePageCacheLockFree.totalPagesRequested,1761573223643000000,1761573242716000000,0
FilePageCache.maxRegisteredFiles,1761573223643000000,1761573242716000000,537
FilePageCache.uncachedFileAccess,1761573223643000000,1761573242716000000,110
MappedFileStorage.totalBytesMapped,1761573223643000000,1761573242716000000,0
FilePageCache.pageHits,1761573223643000000,1761573242716000000,0
StorageLockContext.competingThreads.max,1761573223643000000,1761573242716000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1761573223643000000,1761573242716000000,0
FilePageCacheLockFree.nativeBytesInUse,1761573223643000000,1761573242716000000,0
FilePageCache.capacityInBytes,1761573223643000000,1761573242716000000,503316478
FilePageCache.maxCacheSizeInBytes,1761573223643000000,1761573242716000000,202375168
FilePageCache.pageLoads,1761573223643000000,1761573242716000000,196
MappedFileStorage.totalPagesMapped,1761573223643000000,1761573242716000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1761573223643000000,1761573242716000000,0
FilePageCache.pageFastCacheHits,1761573223643000000,1761573242716000000,3880
FilePageCacheLockFree.totalPagesWriteMs,1761573223643000000,1761573242716000000,0
FilePageCache.totalPageLoadsUs,1761573223643000000,1761573242716000000,749449
MappedFileStorage.storages,1761573223643000000,1761573242716000000,0
FilePageCacheLockFree.totalPagesAllocated,1761573223643000000,1761573242716000000,0
FilePageCache.totalPageDisposalsUs,1761573223643000000,1761573242716000000,3551
FilePageCacheLockFree.totalNativeBytesAllocated,1761573223643000000,1761573242716000000,0
cacheStateStorage.get.duration,1761573223643000000,1761573242716000000,0
cacheStateStorage.set.counter,1761573223643000000,1761573242716000000,0
cacheStateStorage.get.counter,1761573223643000000,1761573242716000000,10
cacheStateStorage.set.duration,1761573223643000000,1761573242716000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1761573223643000000,1761573242716000000,0
workspaceModel.sync.entities.ms,1761573223643000000,1761573242716000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1761573223643000000,1761573242716000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1761573223643000000,1761573242716000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1761573223643000000,1761573242716000000,0
workspaceModel.load.cache.metadata.from.file.ms,1761573223643000000,1761573242716000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1761573223643000000,1761573242716000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1761573223643000000,1761573242716000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1761573223643000000,1761573242716000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1761573223643000000,1761573242716000000,0
jps.load.initial.state.ms,1761573223643000000,1761573242716000000,28
workspaceModel.mutableEntityStorage.to.snapshot.ms,1761573223643000000,1761573242716000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1761573223643000000,1761573242716000000,0
jps.library.entities.serializer.save.entities.ms,1761573223643000000,1761573242716000000,0
workspaceModel.save.cache.to.file.ms,1761573223643000000,1761573242716000000,0
jps.global.get.library.ms,1761573223643000000,1761573242716000000,0
workspaceModel.mutableEntityStorage.entities.ms,1761573223643000000,1761573242716000000,1
workspaceModel.load.cache.from.file.ms,1761573223643000000,1761573242716000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1761573223643000000,1761573242716000000,0
workspaceModel.global.updates.ms,1761573223643000000,1761573242716000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1761573223643000000,1761573242716000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1761573223643000000,1761573242716000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1761573223643000000,1761573242716000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1761573223643000000,1761573242716000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1761573223643000000,1761573242716000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1761573223643000000,1761573242716000000,0
workspaceModel.do.save.caches.ms,1761573223643000000,1761573242716000000,0
jps.global.handle.changed.events.ms,1761573223643000000,1761573242716000000,0
jps.library.entities.serializer.load.entities.ms,1761573223643000000,1761573242716000000,1
jps.global.initialize.library.bridges.ms,1761573223643000000,1761573242716000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1761573223643000000,1761573242716000000,0
